2020-11-19 20:03:27 status installed libssl1.1:amd64 1.1.1d-0+deb10u3
2020-11-19 20:03:27 configure libnghttp2-14:amd64 1.36.0-2+deb10u1 <none>
2020-11-19 20:03:27 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-11-19 20:03:27 status half-configured libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-11-19 20:03:27 status installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-11-19 20:03:27 configure libldap-common:all 2.4.47+dfsg-3+deb10u4 <none>
2020-11-19 20:03:27 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:27 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:27 status installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:27 configure libkrb5support0:amd64 1.17-3 <none>
2020-11-19 20:03:27 status unpacked libkrb5support0:amd64 1.17-3
2020-11-19 20:03:27 status half-configured libkrb5support0:amd64 1.17-3
2020-11-19 20:03:27 status installed libkrb5support0:amd64 1.17-3
2020-11-19 20:03:27 configure libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-11-19 20:03:27 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:27 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:27 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:27 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2 <none>
2020-11-19 20:03:27 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-11-19 20:03:27 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-11-19 20:03:27 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-11-19 20:03:27 configure libk5crypto3:amd64 1.17-3 <none>
2020-11-19 20:03:27 status unpacked libk5crypto3:amd64 1.17-3
2020-11-19 20:03:27 status half-configured libk5crypto3:amd64 1.17-3
2020-11-19 20:03:27 status installed libk5crypto3:amd64 1.17-3
2020-11-19 20:03:27 configure libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-11-19 20:03:27 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:27 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:27 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:27 configure libssh2-1:amd64 1.8.0-2.1 <none>
2020-11-19 20:03:27 status unpacked libssh2-1:amd64 1.8.0-2.1
2020-11-19 20:03:27 status half-configured libssh2-1:amd64 1.8.0-2.1
2020-11-19 20:03:27 status installed libssh2-1:amd64 1.8.0-2.1
2020-11-19 20:03:27 configure libkrb5-3:amd64 1.17-3 <none>
2020-11-19 20:03:27 status unpacked libkrb5-3:amd64 1.17-3
2020-11-19 20:03:27 status half-configured libkrb5-3:amd64 1.17-3
2020-11-19 20:03:27 status installed libkrb5-3:amd64 1.17-3
2020-11-19 20:03:27 configure openssl:amd64 1.1.1d-0+deb10u3 <none>
2020-11-19 20:03:27 status unpacked openssl:amd64 1.1.1d-0+deb10u3
2020-11-19 20:03:27 status half-configured openssl:amd64 1.1.1d-0+deb10u3
2020-11-19 20:03:27 status installed openssl:amd64 1.1.1d-0+deb10u3
2020-11-19 20:03:27 configure readline-common:all 7.0-5 <none>
2020-11-19 20:03:27 status unpacked readline-common:all 7.0-5
2020-11-19 20:03:27 status half-configured readline-common:all 7.0-5
2020-11-19 20:03:27 status installed readline-common:all 7.0-5
2020-11-19 20:03:27 configure libreadline7:amd64 7.0-5 <none>
2020-11-19 20:03:27 status unpacked libreadline7:amd64 7.0-5
2020-11-19 20:03:27 status half-configured libreadline7:amd64 7.0-5
2020-11-19 20:03:27 status installed libreadline7:amd64 7.0-5
2020-11-19 20:03:27 configure libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4 <none>
2020-11-19 20:03:27 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:27 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:27 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:27 configure ca-certificates:all 20200601~deb10u1 <none>
2020-11-19 20:03:27 status unpacked ca-certificates:all 20200601~deb10u1
2020-11-19 20:03:27 status half-configured ca-certificates:all 20200601~deb10u1
2020-11-19 20:03:31 status installed ca-certificates:all 20200601~deb10u1
2020-11-19 20:03:31 status triggers-pending ca-certificates:all 20200601~deb10u1
2020-11-19 20:03:31 configure libgssapi-krb5-2:amd64 1.17-3 <none>
2020-11-19 20:03:31 status unpacked libgssapi-krb5-2:amd64 1.17-3
2020-11-19 20:03:31 status half-configured libgssapi-krb5-2:amd64 1.17-3
2020-11-19 20:03:31 status installed libgssapi-krb5-2:amd64 1.17-3
2020-11-19 20:03:31 configure libcurl3-gnutls:amd64 7.64.0-4+deb10u1 <none>
2020-11-19 20:03:31 status unpacked libcurl3-gnutls:amd64 7.64.0-4+deb10u1
2020-11-19 20:03:31 status half-configured libcurl3-gnutls:amd64 7.64.0-4+deb10u1
2020-11-19 20:03:31 status installed libcurl3-gnutls:amd64 7.64.0-4+deb10u1
2020-11-19 20:03:31 configure gnupg1:amd64 1.4.23-1 <none>
2020-11-19 20:03:31 status unpacked gnupg1:amd64 1.4.23-1
2020-11-19 20:03:31 status half-configured gnupg1:amd64 1.4.23-1
2020-11-19 20:03:31 status installed gnupg1:amd64 1.4.23-1
2020-11-19 20:03:31 trigproc libc-bin:amd64 2.28-10 <none>
2020-11-19 20:03:31 status half-configured libc-bin:amd64 2.28-10
2020-11-19 20:03:31 status installed libc-bin:amd64 2.28-10
2020-11-19 20:03:31 trigproc ca-certificates:all 20200601~deb10u1 <none>
2020-11-19 20:03:31 status half-configured ca-certificates:all 20200601~deb10u1
2020-11-19 20:03:32 status installed ca-certificates:all 20200601~deb10u1
2020-11-19 20:03:34 startup packages remove
2020-11-19 20:03:34 status installed gnupg1:amd64 1.4.23-1
2020-11-19 20:03:34 remove gnupg1:amd64 1.4.23-1 <none>
2020-11-19 20:03:34 status half-configured gnupg1:amd64 1.4.23-1
2020-11-19 20:03:34 status half-installed gnupg1:amd64 1.4.23-1
2020-11-19 20:03:34 status config-files gnupg1:amd64 1.4.23-1
